,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),Fuel Consumption City MPG,Fuel Consumption Hwy MPG,Carbon emissions per mile(g)
0,acura,ilx,COMPACT,2.0,4.0,AS5,Premium Gasoline,9.9,6.7,8.5,33,24.0,35.0,269.3939393939394
1,acura,ilx,COMPACT,2.4,4.0,M6,Premium Gasoline,11.2,7.7,9.6,29,21.0,31.0,306.55172413793105
2,acura,ilx,COMPACT,1.5,4.0,AV7,Premium Gasoline,6.0,5.8,5.9,48,39.0,41.0,185.20833333333331
3,acura,mdx,SUV - SMALL,3.5,6.0,AS6,Premium Gasoline,12.7,9.1,11.1,25,19.0,26.0,355.6
4,acura,rdx,SUV - SMALL,3.5,6.0,AS6,Premium Gasoline,12.1,8.7,10.6,27,19.0,27.0,329.25925925925924
5,acura,rlx,MID-SIZE,3.5,6.0,AS6,Premium Gasoline,11.9,7.7,10.0,28,20.0,31.0,317.5
6,acura,tl,MID-SIZE,3.5,6.0,AS6,Premium Gasoline,11.8,8.1,10.1,28,20.0,29.0,317.5
7,acura,tl,MID-SIZE,3.7,6.0,AS6,Premium Gasoline,12.8,9.0,11.1,25,18.0,26.0,355.6
8,acura,tl,MID-SIZE,3.7,6.0,M6,Premium Gasoline,13.4,9.5,11.6,24,18.0,25.0,370.41666666666663
9,acura,tsx,COMPACT,2.4,4.0,AS5,Premium Gasoline,10.6,7.5,9.2,31,22.0,31.0,286.7741935483871
10,acura,tsx,COMPACT,2.4,4.0,M6,Premium Gasoline,11.2,8.1,9.8,29,21.0,29.0,306.55172413793105
11,acura,tsx,COMPACT,3.5,6.0,AS5,Premium Gasoline,12.1,8.3,10.4,27,19.0,28.0,329.25925925925924
12,alfa romeo,4c,TWO-SEATER,1.8,4.0,AM6,Premium Gasoline,9.7,6.9,8.4,34,24.0,34.0,261.4705882352941
13,aston martin,db9,MINICOMPACT,5.9,12.0,A6,Premium Gasoline,18.0,12.6,15.6,18,13.0,19.0,493.88888888888886
14,aston martin,rapide,SUBCOMPACT,5.9,12.0,A6,Premium Gasoline,18.0,12.6,15.6,18,13.0,19.0,493.88888888888886
15,aston martin,v8,TWO-SEATER,4.7,8.0,AM7,Premium Gasoline,17.4,11.3,14.7,19,14.0,21.0,467.89473684210526
16,aston martin,v8,TWO-SEATER,4.7,8.0,M6,Premium Gasoline,18.1,12.2,15.4,18,13.0,19.0,493.88888888888886
